label,context_pass,overall,coherence,fluency,instructional_fit,semantic_specificity,repetition_penalty,notes,model_id,prompt_sha256,seed,elapsed_ms
HEAD_152_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1792292637434758595,10
HEAD_153_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4578523325697772097,10
HEAD_154_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16392600065916762502,10
HEAD_155_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6791714100955843835,10
HEAD_156_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,773318893828882355,10
HEAD_157_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12799101350103697788,10
HEAD_158_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12599477094020374922,10
HEAD_159_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9115630857244004566,10
HEAD_160_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13315151618845859541,10
HEAD_161_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,12827585397109155001,10
HEAD_162_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4561556004537200475,10
HEAD_163_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8379736279117911335,10
HEAD_164_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8764712298773388092,10
HEAD_165_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10013824821945869714,10
HEAD_166_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9831551213344485101,10
HEAD_167_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,9176960146207392248,10
HEAD_168_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2770535868925085545,10
HEAD_169_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17820306765554194564,10
HEAD_170_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13938166972362399171,10
HEAD_171_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,13419397731516134930,10
HEAD_172_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11641538034481121195,10
HEAD_173_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17077262108159613068,10
HEAD_174_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10836243832570934024,10
HEAD_175_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,1824811150464221158,10
HEAD_176_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3828161085973731797,10
HEAD_177_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8636938281869272156,10
HEAD_178_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,11908885640977726520,10
HEAD_179_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7722617803121279107,10
HEAD_180_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8373773520376001691,10
HEAD_181_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10128991310564930715,10
HEAD_182_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,3382451862371699416,10
HEAD_183_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,15576223546265870057,10
HEAD_184_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,638249019711261101,10
HEAD_185_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8120366392562322686,10
HEAD_186_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4505586500767115001,10
HEAD_187_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14572934554449625695,10
HEAD_188_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,2131012896805092985,10
HEAD_189_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6301526910523680078,10
HEAD_190_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,8607587905756086059,10
HEAD_191_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,6233376687869979073,10
HEAD_192_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4239072671094604928,10
HEAD_193_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,7213383170353135968,10
HEAD_194_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,16530826241699395476,10
HEAD_195_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,14799201439524656495,10
HEAD_196_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,10554081144667758533,10
HEAD_197_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,17784346746839146851,10
HEAD_198_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,4520178148950638654,10
HEAD_199_B,False,4,5,5,3,1,0,"Mock evaluation: func_ratio=0.00, content=0",mock-evaluator-v1,mock_000000000000000000000000000000000000000000000000000000000000,5099379689657774412,10
